<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20120807,10.5,10.5,10.1,10.1,82000
AAA,20120806,10.2,10.5,10.2,10.5,89200
AAA,20120803,10.1,10.2,10.0,10.1,22500
AAA,20120802,10.2,10.2,10.1,10.1,32600
AAA,20120801,10.2,10.2,10.0,10.1,59100
AAA,20120731,10.2,10.3,10.1,10.2,87000
AAA,20120730,10.0,10.3,10.0,10.0,48700
AAA,20120727,10.3,10.3,10.0,10.1,79400
AAA,20120726,10.1,10.2,9.9,10.1,138400
AAA,20120725,10.1,10.1,9.9,10.0,106700
AAA,20120724,10.3,10.3,9.9,10.0,270200
AAA,20120723,10.6,10.7,10.3,10.3,90300
AAA,20120720,10.9,11.4,10.6,10.6,285300
AAA,20120719,10.3,10.8,10.2,10.8,170400
AAA,20120718,10.3,10.4,10.0,10.3,154900
AAA,20120717,10.2,10.4,10.1,10.3,67400
AAA,20120716,10.3,10.5,10.0,10.0,132800
AAA,20120713,9.8,10.3,9.8,10.2,194400
AAA,20120712,9.8,9.9,9.6,9.8,149800
AAA,20120711,9.4,9.7,9.3,9.7,244500
AAA,20120710,9.2,9.5,9.2,9.4,104500
AAA,20120709,9.7,9.7,9.4,9.3,161900
AAA,20120706,9.2,9.6,9.1,9.7,432200
AAA,20120705,8.7,9.1,8.4,9.0,196300
AAA,20120704,9.0,9.1,8.4,8.5,184200
AAA,20120703,9.3,9.3,8.8,8.9,196900
AAA,20120702,9.8,9.8,9.4,9.4,80400
AAA,20120629,9.9,9.9,9.6,9.7,60600
AAA,20120628,9.6,9.9,9.1,9.7,133700
AAA,20120627,9.9,9.9,9.6,9.6,129800
AAA,20120626,10.1,10.1,9.5,9.7,204400
AAA,20120625,10.8,10.8,10.2,10.2,184600
AAA,20120622,10.8,10.9,10.6,10.7,137300
AAA,20120621,10.9,11.1,10.9,10.9,89500
AAA,20120620,11.1,11.1,10.9,11.0,38500
AAA,20120619,11.4,11.4,11.0,11.0,84100
AAA,20120618,11.3,11.5,11.1,11.2,98300
AAA,20120615,10.9,11.2,10.9,11.1,121500
AAA,20120614,11.2,11.3,10.8,11.0,126300
AAA,20120613,11.4,11.5,11.0,11.3,179400
AAA,20120612,11.2,12.2,11.2,11.4,282000
AAA,20120611,11.9,12.1,11.6,12.0,154300
AAA,20120608,12.0,12.3,11.6,11.7,270100
AAA,20120607,11.1,11.6,11.1,11.7,282100
AAA,20120606,10.9,11.1,10.8,10.9,121100
AAA,20120605,10.5,11.0,10.4,10.9,116700
AAA,20120604,11.0,11.0,10.4,10.6,212200
AAA,20120601,11.2,11.3,10.8,11.1,58000
AAA,20120531,11.3,11.4,11.0,11.0,199700
AAA,20120530,11.4,11.8,11.4,11.6,79200
AAA,20120529,11.4,12.1,11.1,11.6,204100
AAA,20120528,12.2,12.2,11.2,11.4,133400
AAA,20120525,10.8,11.4,10.8,11.4,130200
AAA,20120524,11.2,11.2,10.3,10.7,247400
AAA,20120523,11.6,11.7,11.0,11.0,298400
AAA,20120522,12.1,12.3,11.8,11.8,189500
AAA,20120521,11.4,11.9,11.4,12.0,168600
AAA,20120518,11.9,11.9,11.1,11.2,273000
AAA,20120517,12.5,12.5,11.7,11.7,195000
AAA,20120516,12.2,12.3,11.6,12.2,251500
AAA,20120515,12.2,12.4,11.6,11.9,278400
AAA,20120514,13.0,13.2,12.2,12.2,462400
AAA,20120511,14.1,14.1,13.1,13.1,454900
AAA,20120510,14.4,14.4,13.8,13.9,487900
AAA,20120509,14.2,14.4,14.0,14.2,431800
AAA,20120508,14.3,14.7,13.9,14.2,552900
AAA,20120507,13.8,14.4,13.7,14.3,369000
AAA,20120504,13.6,14.0,13.3,13.7,278200
AAA,20120503,14.2,14.4,13.1,13.5,375300
AAA,20120502,13.6,13.6,13.3,13.6,1444400
AAA,20120427,12.3,12.8,12.3,12.7,227500
AAA,20120426,12.3,12.3,11.9,12.0,138600
AAA,20120425,12.2,12.5,12.1,12.3,292500
AAA,20120424,11.9,11.9,11.5,11.9,144500
AAA,20120423,11.9,12.0,11.6,11.7,56700
AAA,20120420,11.8,12.0,11.5,11.7,118300
AAA,20120419,12.1,12.1,11.5,11.7,310900
AAA,20120418,12.4,12.6,12.1,12.2,325700
AAA,20120417,12.6,12.7,12.2,12.4,425600
AAA,20120416,12.1,12.7,11.9,12.4,293100
AAA,20120413,12.1,12.2,11.8,12.0,356200
AAA,20120412,12.1,12.7,12.1,12.2,272600
AAA,20120411,12.4,12.5,12.0,12.3,312900
AAA,20120410,12.1,12.2,11.6,11.8,333500
AAA,20120409,11.8,12.4,11.4,12.2,309100
AAA,20120406,11.8,12.1,11.7,11.7,221600
AAA,20120405,11.4,12.0,11.1,11.9,199800
AAA,20120404,11.9,12.0,11.1,11.4,197600
AAA,20120403,11.0,11.7,11.0,11.7,134000
AAA,20120330,11.1,11.4,10.6,11.0,234900
AAA,20120329,12.3,12.3,11.2,11.2,556300
AAA,20120328,11.6,12.3,11.3,12.0,551900
AAA,20120327,12.9,12.9,12.0,12.1,551000
AAA,20120326,12.9,13.0,12.5,12.9,394300
AAA,20120323,11.9,12.4,11.9,12.2,473300
AAA,20120322,10.8,11.5,10.8,11.6,672400
AAA,20120321,10.4,11.0,10.4,10.8,826800
AAA,20120320,10.5,10.5,10.2,10.3,302500
AAA,20120319,10.0,10.3,9.9,10.3,125100
AAA,20120316,10.3,10.6,10.1,10.2,523900
AAA,20120315,9.8,10.3,9.5,10.0,364600
AAA,20120314,9.9,10.3,9.8,9.8,103200
AAA,20120313,10.3,10.8,9.7,10.0,71200
AAA,20120312,10.1,10.4,9.9,10.2,774700
AAA,20120309,9.4,9.6,9.0,9.8,256500
AAA,20120308,10.1,10.3,9.5,9.4,478500
AAA,20120307,10.1,10.3,9.8,10.2,222900
AAA,20120306,11.1,11.2,10.2,10.4,546500
AAA,20120305,10.6,10.7,10.6,10.5,257900
AAA,20120302,9.5,10.0,9.4,10.0,462600
AAA,20120301,9.4,9.5,9.2,9.4,243200
AAA,20120229,9.2,9.4,9.0,9.4,189200
AAA,20120228,10.2,10.2,9.4,9.3,302900
AAA,20120227,9.7,9.8,9.3,9.9,436000
AAA,20120224,9.5,10.0,9.5,9.5,346300
AAA,20120223,9.4,9.5,9.0,9.4,323600
AAA,20120222,8.4,9.0,8.4,9.0,262900
AAA,20120221,9.0,9.1,8.6,8.7,592800
AAA,20120220,8.2,8.5,8.2,8.5,293500
AAA,20120217,8.0,8.1,7.9,8.0,125200
AAA,20120216,7.8,8.0,7.7,7.8,81600
AAA,20120215,8.0,8.0,7.6,7.8,75800
AAA,20120214,7.6,8.0,7.6,7.9,218400
AAA,20120213,7.8,7.8,7.6,7.7,174100
AAA,20120210,8.1,8.1,7.8,7.9,324700
AAA,20120209,8.2,8.6,8.2,8.2,495000
AAA,20120208,7.8,8.2,7.8,8.1,533900
AAA,20120207,7.7,8.0,7.6,7.7,196500
AAA,20120206,7.7,7.7,7.3,7.5,243200
AAA,20120203,8.3,8.3,7.6,7.7,248600
AAA,20120202,7.8,8.2,7.8,8.1,132000
AAA,20120201,7.4,7.6,7.3,7.7,87700
AAA,20120131,7.3,7.8,7.3,7.5,314800
AAA,20120130,7.2,7.3,7.0,7.3,68200
AAA,20120120,7.5,7.5,7.1,7.2,41400
AAA,20120119,7.1,7.5,7.1,7.3,71000
AAA,20120118,7.0,7.0,7.0,7.0,45100
AAA,20120117,7.0,7.1,6.7,6.9,37400
AAA,20120116,6.9,7.1,6.9,7.0,114600
AAA,20120113,6.8,7.0,6.8,6.8,92600
AAA,20120112,6.6,6.7,6.6,6.8,55300
AAA,20120111,7.1,7.1,6.8,6.8,83900
AAA,20120110,6.6,7.1,6.6,6.9,119900
AAA,20120109,6.6,6.6,6.4,6.6,71200
AAA,20120106,6.5,6.6,6.4,6.5,42500
AAA,20120105,6.7,6.7,6.6,6.6,47900
AAA,20120104,6.6,6.7,6.5,6.7,107100
AAA,20120103,6.5,6.6,6.4,6.5,61100
AAA,20111230,6.4,6.5,6.3,6.4,57200
AAA,20111229,6.4,6.6,6.3,6.2,61300
AAA,20111228,6.0,6.4,6.0,6.4,104700
AAA,20111227,5.9,6.2,5.8,6.0,108100
AAA,20111226,6.3,6.3,6.2,6.1,57100
AAA,20111223,6.3,6.3,6.1,6.4,115000
AAA,20111222,7.0,7.0,6.5,6.5,151200
AAA,20111221,6.9,7.0,6.7,6.8,50000
AAA,20111220,6.9,6.9,6.7,6.8,151400
AAA,20111219,7.2,7.3,7.0,7.0,70900
AAA,20111216,7.0,7.2,6.9,7.1,110100
AAA,20111215,7.0,7.0,6.7,6.8,213900
AAA,20111214,7.1,7.1,6.9,7.1,193000
AAA,20111213,7.5,7.6,7.2,7.2,160100
AAA,20111212,7.7,7.8,7.5,7.5,67900
AAA,20111209,7.8,7.9,7.7,7.7,79300
AAA,20111208,7.8,8.1,7.8,7.9,65800
AAA,20111207,7.7,7.9,7.7,8.0,144200
AAA,20111206,8.2,8.3,8.0,7.9,167900
AAA,20111205,7.9,8.2,7.9,8.1,222900
AAA,20111202,7.7,7.7,7.2,7.7,153000
AAA,20111201,7.7,7.8,7.5,7.7,106100
AAA,20111130,7.7,7.8,7.5,7.6,60200
AAA,20111129,7.8,7.8,7.6,7.7,92100
AAA,20111128,7.8,8.0,7.8,7.7,125400
AAA,20111125,7.4,7.6,7.4,7.6,104500
AAA,20111124,7.7,7.7,7.4,7.5,136200
AAA,20111123,7.7,7.8,7.6,7.6,207500
AAA,20111122,7.3,7.5,7.2,7.5,146300
AAA,20111121,7.5,7.6,7.4,7.4,96000
AAA,20111118,7.5,7.5,7.3,7.5,133900
AAA,20111117,8.1,8.1,7.7,7.7,130200
AAA,20111116,7.7,8.1,7.6,8.0,129900
AAA,20111115,8.1,8.2,7.9,7.9,151400
AAA,20111114,8.1,8.1,7.8,8.0,93500
AAA,20111111,8.4,8.5,8.2,8.2,69800
AAA,20111110,8.3,8.3,8.1,8.3,132100
AAA,20111109,8.8,8.8,8.6,8.5,58800
AAA,20111108,8.6,8.8,8.5,8.8,172400
AAA,20111107,8.9,8.9,8.6,8.7,137200
AAA,20111104,8.9,9.1,8.7,8.8,104700
AAA,20111103,8.9,9.0,8.7,8.8,97200
AAA,20111102,8.9,8.9,8.5,8.8,123300
AAA,20111101,8.8,9.2,8.8,9.0,283500
AAA,20111031,9.6,10.0,9.3,9.4,234400
AAA,20111028,9.0,9.5,9.0,9.4,348000
AAA,20111027,8.9,8.9,8.8,8.9,58100
AAA,20111026,8.7,8.8,8.6,8.8,75300
AAA,20111025,8.7,8.8,8.6,8.7,116800
AAA,20111024,9.1,9.2,8.9,8.8,102600
AAA,20111021,8.5,8.8,8.4,8.9,143400
AAA,20111020,8.8,8.8,8.5,8.5,71200
AAA,20111019,8.6,8.7,8.5,8.6,109500
AAA,20111018,8.6,8.6,8.5,8.5,85600
